,Timestamp,Your Academic Stage,Peer pressure,Academic pressure home,Study Environment,Coping_Mechanism,Lifestyle_Habits,Academic Competition,Academic_Stress_Level,year,day,Month_Name,month,day_name
0,2025-07-24 22:05:39+00:00,undergraduate,High,Extreme Pressure,Noisy,Problem-Solving,No,Moderate,Overwhelming,2025,24,July,7,Thursday
1,2025-07-24 22:05:52+00:00,undergraduate,Moderate,Strong Pressure,Peaceful,Problem-Solving,No,Moderate,Moderate,2025,24,July,7,Thursday
2,2025-07-24 22:06:39+00:00,undergraduate,Very Low,No Pressure,Peaceful,Social Support,No,Low,Severe,2025,24,July,7,Thursday
3,2025-07-24 22:06:45+00:00,undergraduate,Moderate,Slight Pressure,Peaceful,Problem-Solving,No,High,Moderate,2025,24,July,7,Thursday
4,2025-07-24 22:08:06+00:00,undergraduate,Moderate,Moderate Pressure,Peaceful,Problem-Solving,No,High,Overwhelming,2025,24,July,7,Thursday
5,2025-07-24 22:08:13+00:00,undergraduate,Moderate,Moderate Pressure,Peaceful,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
6,2025-07-24 22:09:21+00:00,undergraduate,Very High,Extreme Pressure,disrupted,Emotional Release,No,High,Severe,2025,24,July,7,Thursday
7,2025-07-24 22:10:06+00:00,undergraduate,Moderate,Slight Pressure,Peaceful,Social Support,No,Moderate,Moderate,2025,24,July,7,Thursday
8,2025-07-24 22:11:01+00:00,undergraduate,Low,Slight Pressure,Peaceful,Problem-Solving,No,Low,Mild,2025,24,July,7,Thursday
9,2025-07-24 22:11:19+00:00,undergraduate,Low,Slight Pressure,Peaceful,Problem-Solving,No,High,Mild,2025,24,July,7,Thursday
10,2025-07-24 22:12:12+00:00,undergraduate,Moderate,Slight Pressure,disrupted,Emotional Release,No,Moderate,Overwhelming,2025,24,July,7,Thursday
11,2025-07-24 22:12:24+00:00,undergraduate,High,Extreme Pressure,Peaceful,Problem-Solving,No,Moderate,Moderate,2025,24,July,7,Thursday
12,2025-07-24 22:12:27+00:00,undergraduate,Low,Moderate Pressure,Noisy,Emotional Release,No,Low,Mild,2025,24,July,7,Thursday
13,2025-07-24 22:12:48+00:00,undergraduate,Low,Moderate Pressure,disrupted,Problem-Solving,No,High,Mild,2025,24,July,7,Thursday
14,2025-07-24 22:14:16+00:00,undergraduate,Moderate,Strong Pressure,disrupted,Social Support,Decline,Moderate,Severe,2025,24,July,7,Thursday
15,2025-07-24 22:15:06+00:00,undergraduate,Very High,Extreme Pressure,Noisy,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
16,2025-07-24 22:15:39+00:00,undergraduate,Moderate,Moderate Pressure,Peaceful,Problem-Solving,No,Fierce,Overwhelming,2025,24,July,7,Thursday
17,2025-07-24 22:16:10+00:00,undergraduate,Moderate,Extreme Pressure,disrupted,Problem-Solving,No,Fierce,Severe,2025,24,July,7,Thursday
18,2025-07-24 22:16:53+00:00,undergraduate,Moderate,Moderate Pressure,Peaceful,Emotional Release,No,High,Moderate,2025,24,July,7,Thursday
19,2025-07-24 22:17:46+00:00,undergraduate,Moderate,Strong Pressure,Peaceful,Social Support,No,High,Moderate,2025,24,July,7,Thursday
20,2025-07-24 22:18:02+00:00,undergraduate,High,Moderate Pressure,Peaceful,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
21,2025-07-24 22:18:44+00:00,undergraduate,Moderate,Moderate Pressure,Peaceful,Problem-Solving,No,High,Moderate,2025,24,July,7,Thursday
22,2025-07-24 22:18:55+00:00,undergraduate,Moderate,Moderate Pressure,Peaceful,Problem-Solving,No,High,Moderate,2025,24,July,7,Thursday
23,2025-07-24 22:18:58+00:00,undergraduate,Very High,No Pressure,disrupted,Problem-Solving,No,Fierce,Moderate,2025,24,July,7,Thursday
24,2025-07-24 22:19:06+00:00,undergraduate,High,Extreme Pressure,disrupted,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
25,2025-07-24 22:19:22+00:00,undergraduate,High,Moderate Pressure,Peaceful,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
26,2025-07-24 22:19:25+00:00,undergraduate,High,Extreme Pressure,disrupted,Problem-Solving,Yes,High,Overwhelming,2025,24,July,7,Thursday
27,2025-07-24 22:19:33+00:00,high school,Moderate,Strong Pressure,disrupted,Problem-Solving,No,Moderate,Severe,2025,24,July,7,Thursday
28,2025-07-24 22:19:51+00:00,undergraduate,Very High,No Pressure,disrupted,Social Support,No,High,Overwhelming,2025,24,July,7,Thursday
29,2025-07-24 22:20:28+00:00,undergraduate,High,Moderate Pressure,Peaceful,Problem-Solving,No,Fierce,Severe,2025,24,July,7,Thursday
30,2025-07-24 22:21:04+00:00,undergraduate,Very High,Extreme Pressure,disrupted,Emotional Release,Yes,Fierce,Overwhelming,2025,24,July,7,Thursday
31,2025-07-24 22:23:15+00:00,undergraduate,Moderate,No Pressure,disrupted,Emotional Release,No,High,Severe,2025,24,July,7,Thursday
32,2025-07-24 22:24:13+00:00,undergraduate,Moderate,Slight Pressure,Peaceful,Emotional Release,No,High,Moderate,2025,24,July,7,Thursday
33,2025-07-24 22:24:53+00:00,undergraduate,Very Low,No Pressure,Peaceful,Problem-Solving,Decline,Negligible,Minimal,2025,24,July,7,Thursday
34,2025-07-24 22:25:17+00:00,undergraduate,Very Low,No Pressure,Peaceful,Social Support,Decline,High,Moderate,2025,24,July,7,Thursday
35,2025-07-24 22:25:27+00:00,undergraduate,Moderate,Strong Pressure,Noisy,Problem-Solving,No,Fierce,Severe,2025,24,July,7,Thursday
36,2025-07-24 22:25:41+00:00,undergraduate,High,Extreme Pressure,disrupted,Emotional Release,Yes,Low,Moderate,2025,24,July,7,Thursday
37,2025-07-24 22:28:58+00:00,undergraduate,Very Low,Strong Pressure,Peaceful,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
38,2025-07-24 22:29:26+00:00,undergraduate,Moderate,Strong Pressure,Peaceful,Problem-Solving,No,Moderate,Severe,2025,24,July,7,Thursday
39,2025-07-24 22:30:29+00:00,undergraduate,Moderate,Slight Pressure,Peaceful,Social Support,No,Moderate,Severe,2025,24,July,7,Thursday
40,2025-07-24 22:32:22+00:00,undergraduate,Moderate,Strong Pressure,disrupted,Problem-Solving,No,Fierce,Overwhelming,2025,24,July,7,Thursday
41,2025-07-24 22:32:36+00:00,post-graduate,Moderate,Extreme Pressure,Peaceful,Problem-Solving,No,Moderate,Moderate,2025,24,July,7,Thursday
42,2025-07-24 22:32:37+00:00,undergraduate,Moderate,Extreme Pressure,Peaceful,Problem-Solving,No,High,Overwhelming,2025,24,July,7,Thursday
43,2025-07-24 22:33:48+00:00,undergraduate,Very High,Strong Pressure,disrupted,Emotional Release,No,Fierce,Overwhelming,2025,24,July,7,Thursday
44,2025-07-24 22:34:34+00:00,undergraduate,High,Slight Pressure,Noisy,Problem-Solving,No,Low,Mild,2025,24,July,7,Thursday
45,2025-07-24 22:34:41+00:00,undergraduate,Moderate,Slight Pressure,Peaceful,Problem-Solving,No,High,Moderate,2025,24,July,7,Thursday
46,2025-07-24 22:34:53+00:00,undergraduate,Very High,Extreme Pressure,Noisy,Emotional Release,Decline,High,Overwhelming,2025,24,July,7,Thursday
47,2025-07-24 22:38:47+00:00,undergraduate,Low,Strong Pressure,Peaceful,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
48,2025-07-24 22:39:36+00:00,undergraduate,Moderate,Strong Pressure,Noisy,Emotional Release,Yes,High,Overwhelming,2025,24,July,7,Thursday
49,2025-07-24 22:41:41+00:00,undergraduate,Low,Moderate Pressure,disrupted,Social Support,No,Low,Moderate,2025,24,July,7,Thursday
50,2025-07-24 22:42:11+00:00,undergraduate,Moderate,Moderate Pressure,Peaceful,Problem-Solving,No,High,Moderate,2025,24,July,7,Thursday
51,2025-07-24 22:42:25+00:00,undergraduate,High,Strong Pressure,Noisy,Problem-Solving,No,Fierce,Severe,2025,24,July,7,Thursday
52,2025-07-24 22:42:48+00:00,undergraduate,High,Extreme Pressure,Peaceful,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
53,2025-07-24 22:44:07+00:00,undergraduate,Moderate,Moderate Pressure,disrupted,Emotional Release,Yes,Moderate,Moderate,2025,24,July,7,Thursday
54,2025-07-24 22:44:50+00:00,undergraduate,Moderate,No Pressure,Noisy,Problem-Solving,Yes,High,Severe,2025,24,July,7,Thursday
55,2025-07-24 23:01:02+00:00,undergraduate,Moderate,Slight Pressure,Peaceful,Problem-Solving,No,Fierce,Severe,2025,24,July,7,Thursday
56,2025-07-24 23:02:49+00:00,post-graduate,High,Strong Pressure,disrupted,Problem-Solving,Decline,High,Severe,2025,24,July,7,Thursday
57,2025-07-24 23:03:10+00:00,undergraduate,Moderate,No Pressure,Noisy,Problem-Solving,No,High,Moderate,2025,24,July,7,Thursday
58,2025-07-24 23:04:01+00:00,undergraduate,Low,Moderate Pressure,disrupted,Problem-Solving,No,Moderate,Overwhelming,2025,24,July,7,Thursday
59,2025-07-24 23:15:48+00:00,undergraduate,Moderate,No Pressure,Noisy,Problem-Solving,No,Fierce,Severe,2025,24,July,7,Thursday
60,2025-07-24 23:22:17+00:00,undergraduate,Low,No Pressure,Peaceful,Emotional Release,No,Moderate,Mild,2025,24,July,7,Thursday
61,2025-07-24 23:31:01+00:00,undergraduate,Low,Moderate Pressure,Peaceful,Problem-Solving,No,High,Severe,2025,24,July,7,Thursday
62,2025-07-24 23:32:26+00:00,undergraduate,High,Strong Pressure,disrupted,Emotional Release,No,High,Severe,2025,24,July,7,Thursday
63,2025-07-24 23:36:22+00:00,undergraduate,Moderate,Moderate Pressure,disrupted,Problem-Solving,No,Moderate,Moderate,2025,24,July,7,Thursday
64,2025-07-24 23:44:35+00:00,undergraduate,Moderate,Slight Pressure,Peaceful,Emotional Release,No,Low,Mild,2025,24,July,7,Thursday
65,2025-07-25 00:10:10+00:00,undergraduate,High,Extreme Pressure,disrupted,Emotional Release,No,Low,Overwhelming,2025,25,July,7,Friday
66,2025-07-25 00:13:46+00:00,undergraduate,High,Moderate Pressure,Peaceful,Problem-Solving,No,High,Overwhelming,2025,25,July,7,Friday
67,2025-07-25 00:21:30+00:00,undergraduate,Moderate,Extreme Pressure,disrupted,Emotional Release,No,Moderate,Severe,2025,25,July,7,Friday
68,2025-07-25 00:21:38+00:00,undergraduate,High,Slight Pressure,disrupted,Problem-Solving,No,Negligible,Minimal,2025,25,July,7,Friday
69,2025-07-25 08:13:01+00:00,undergraduate,Moderate,Moderate Pressure,disrupted,Problem-Solving,No,Moderate,Severe,2025,25,July,7,Friday
70,2025-07-25 08:42:22+00:00,undergraduate,High,Moderate Pressure,disrupted,Problem-Solving,No,High,Severe,2025,25,July,7,Friday
71,2025-07-25 10:30:12+00:00,undergraduate,Moderate,Moderate Pressure,disrupted,Problem-Solving,No,High,Severe,2025,25,July,7,Friday
72,2025-07-25 10:37:39+00:00,undergraduate,Very Low,No Pressure,Noisy,Problem-Solving,No,Negligible,Minimal,2025,25,July,7,Friday
73,2025-07-25 10:43:24+00:00,undergraduate,Moderate,Moderate Pressure,disrupted,Problem-Solving,No,High,Severe,2025,25,July,7,Friday
74,2025-07-25 11:00:10+00:00,undergraduate,Very High,Extreme Pressure,Noisy,Emotional Release,No,Moderate,Overwhelming,2025,25,July,7,Friday
75,2025-07-25 11:06:32+00:00,undergraduate,Moderate,Moderate Pressure,Peaceful,Problem-Solving,No,Moderate,Moderate,2025,25,July,7,Friday
76,2025-07-25 11:06:40+00:00,undergraduate,Low,Moderate Pressure,Noisy,Social Support,No,Low,Moderate,2025,25,July,7,Friday
77,2025-07-25 11:47:24+00:00,undergraduate,Moderate,Strong Pressure,Peaceful,Problem-Solving,No,Moderate,Moderate,2025,25,July,7,Friday
